Date,Open,High,Low,Close,Adj Close,Volume
2011-04-01,133.410004,133.770004,132.830002,133.149994,108.150024,153850100
2011-04-04,133.429993,133.669998,132.880005,133.259995,108.239372,100768900
2011-04-05,133.000000,133.830002,132.940002,133.240005,108.223122,120791500
2011-04-06,133.880005,134.000000,133.119995,133.660004,108.564278,120411600
2011-04-07,133.419998,133.979996,132.660004,133.320007,108.288139,170731500
2011-04-08,133.910004,133.990005,132.309998,132.860001,107.914474,147945400
2011-04-11,133.000000,133.449997,132.139999,132.460007,107.589584,121385400
2011-04-12,131.720001,131.979996,130.990005,131.470001,106.785454,161187400
2011-04-13,132.080002,132.179993,130.960007,131.460007,106.777328,162059000
2011-04-14,130.699997,131.759995,130.270004,131.559998,106.858589,161220400
2011-04-15,131.800003,132.369995,131.410004,132.039993,107.248421,170006700
2011-04-18,130.589996,132.029999,129.509995,130.559998,106.046318,210759300
2011-04-19,130.759995,131.350006,130.440002,131.309998,106.655502,124258800
2011-04-20,132.880005,133.389999,132.789993,133.100006,108.109413,156133800
2011-04-21,133.789993,133.839996,133.100006,133.779999,108.661736,135935400
2011-04-25,133.679993,133.860001,133.199997,133.639999,108.548042,65757100
2011-04-26,134.050003,135.059998,133.910004,134.789993,109.482079,146600000
2011-04-27,135.050003,135.869995,134.500000,135.669998,110.196907,143031000
2011-04-28,135.429993,136.289993,135.410004,136.110001,110.554230,124791100
2011-04-29,136.160004,136.570007,135.979996,136.429993,110.814148,115094100
2011-05-02,137.070007,137.179993,135.949997,136.220001,110.643600,126278700
2011-05-03,135.960007,136.190002,135.039993,135.729996,110.245628,138375000
2011-05-04,135.669998,135.729996,134.229996,134.830002,109.514595,182678500
2011-05-05,134.080002,134.949997,133.020004,133.610001,108.523666,226900000
2011-05-06,134.940002,135.630005,133.679993,134.199997,109.002869,222787200
2011-05-09,134.190002,135.110001,133.979996,134.720001,109.425240,114104500
2011-05-10,135.169998,136.110001,135.000000,135.869995,110.359306,114806900
2011-05-11,135.669998,135.690002,133.820007,134.440002,109.197823,193564200
2011-05-12,134.080002,135.360001,133.389999,135.080002,109.717644,171550700
2011-05-13,135.149994,135.339996,133.559998,134.039993,108.872887,157444900
2011-05-16,133.559998,134.610001,132.970001,133.190002,108.182518,141675400
2011-05-17,132.690002,133.350006,132.119995,133.169998,108.166275,192686200
2011-05-18,133.240005,134.500000,132.949997,134.360001,109.132866,135217900
2011-05-19,134.800003,135.029999,133.940002,134.679993,109.392746,119489500
2011-05-20,134.330002,134.679993,133.360001,133.610001,108.523666,182594900
2011-05-23,131.979996,132.720001,131.589996,132.059998,107.264679,168700000
2011-05-24,132.440002,132.729996,131.699997,131.949997,107.175308,147199600
2011-05-25,131.419998,132.940002,131.380005,132.389999,107.532707,151050100
2011-05-26,132.029999,133.240005,131.779999,133.000000,108.028191,164850000
